GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_900141485.1	4216318	GCF_900141485.1	4230788	
GCA_900134875.1	3871238	GCF_900134875.1	3894238	
GCA_900136135.1	3876118	GCF_900136135.1	3899118	
GCA_002800385.1	5687638	GCF_002800385.1	5694708	
GCA_900141545.1	4208418	GCF_900141545.1	4228428	
GCA_900131595.1	3866298	GCF_900131595.1	3888198	
GCA_900133215.1	4206178	GCF_900133215.1	4231468	
GCA_900132575.1	4295208	GCF_900132575.1	4304508	
GCA_900139365.1	3869658	GCF_900139365.1	3891978	
GCA_900136245.1	3876218	GCF_900136245.1	3897018	
GCA_900134495.1	4209058	GCF_900134495.1	4239408	
GCA_900137615.1	4216138	GCF_900137615.1	4232148	
GCA_900139745.1	4207718	GCF_900139745.1	4228348	
GCA_900135675.1	4210438	GCF_900135675.1	4236868	
GCA_900133745.1	4214758	GCF_900133745.1	4241728	
GCA_900138255.1	4215738	GCF_900138255.1	4231928	
GCA_900133035.1	4209758	GCF_900133035.1	4229508	
GCA_900138065.1	4213238	GCF_900138065.1	4231048	
GCA_900134705.1	3866838	GCF_900134705.1	3890278	
GCA_900138425.1	4213618	GCF_900138425.1	4241048	
GCA_015499845.1	23215318	GCF_015499845.1	23257818	
GCA_900137665.1	3877138	GCF_900137665.1	3898338	
GCA_900134655.1	4211098	GCF_900134655.1	4240028	
GCA_900134155.1	3874298	GCF_900134155.1	3897678	
GCA_900136125.1	4204698	GCF_900136125.1	4235928	
GCA_900134435.1	4211138	GCF_900134435.1	4233568	
GCA_900132235.1	4204598	GCF_900132235.1	4235868	
GCA_900134325.1	4212638	GCF_900134325.1	4233348	
GCA_900141575.1	4205418	GCF_900141575.1	4237348	
GCA_900131845.1	3875238	GCF_900131845.1	3896678	
GCA_900130565.1	4207438	GCF_900130565.1	4231968	
GCA_900136255.1	3876238	GCF_900136255.1	3896878	
GCA_900135695.1	4209578	GCF_900135695.1	4236948	
GCA_900134515.1	4215358	GCF_900134515.1	4233328	
GCA_900141345.1	4208398	GCF_900141345.1	4236488	
GCA_002801005.1	5688278	GCF_002801005.1	5693068	
GCA_017174895.1	25339748	GCF_017174895.1	25447128	
GCA_900136175.1	4213518	GCF_900136175.1	4241628	
GCA_900134245.1	4213278	GCF_900134245.1	4237088	
GCA_015499795.1	23215248	GCF_015499795.1	23257838	
GCA_900137015.1	4209598	GCF_900137015.1	4234308	
GCA_900140065.1	3872978	GCF_900140065.1	3895818	
GCA_900133075.1	4209738	GCF_900133075.1	4228628	
GCA_900131025.1	4214678	GCF_900131025.1	4240168	
GCA_900135745.1	4214578	GCF_900135745.1	4240088	
GCA_900135855.1	4204938	GCF_900135855.1	4228228	
GCA_900137585.1	3877018	GCF_900137585.1	3899558	
GCA_900133805.1	3875558	GCF_900133805.1	3896638	
GCA_900130715.1	4215118	GCF_900130715.1	4237728	
GCA_017175035.1	25339888	GCF_017175035.1	25448188	
GCA_900138095.1	4294988	GCF_900138095.1	4304488	
GCA_900131445.1	4208338	GCF_900131445.1	4229388	
GCA_900132515.1	3874078	GCF_900132515.1	3895778	
GCA_900133485.1	4205578	GCF_900133485.1	4234008	
GCA_900137355.1	3876578	GCF_900137355.1	3898238	
GCA_900141695.1	3878278	GCF_900141695.1	3899538	
GCA_002800365.1	5687618	GCF_002800365.1	5694128	
GCA_900138835.1	4214918	GCF_900138835.1	4231348	
GCA_900138015.1	4216278	GCF_900138015.1	4234188	
GCA_900133685.1	4211518	GCF_900133685.1	4351578	
GCA_900138785.1	4216118	GCF_900138785.1	4230748	
GCA_900138175.1	4217018	GCF_900138175.1	4230908	
GCA_900139865.1	3873418	GCF_900139865.1	3895658	
GCA_900136485.1	3866998	GCF_900136485.1	3890918	
GCA_900137545.1	3876498	GCF_900137545.1	3898258	
GCA_900137655.1	3877238	GCF_900137655.1	3898118	
